TimeStep;Np;Nbound;Nfixed;Nmoving;Nfloat;Nfluid
0;494;165;165;0;0;329

Part;Time;Count;Pos_Xmin;Pos_Xmax;Pos_Xmean;Pos_Ymin;Pos_Ymax;Pos_Ymean;Pos_Zmin;Pos_Zmax;Pos_Zmean;Idp_min;Idp_max;Idp_mean;Vel_min;Vel_max;Vel_mean;Vel_Xmin;Vel_Xmax;Vel_Xmean;Vel_Ymin;Vel_Ymax;Vel_Ymean;Vel_Zmin;Vel_Zmax;Vel_Zmean;Rhop_min;Rhop_max;Rhop_mean;Mass_min;Mass_max;Mass_mean;Press_min;Press_max;Press_mean;Type_min;Type_max;Type_mean;Acec_min;Acec_max;Acec_mean;Acec_Xmin;Acec_Xmax;Acec_Xmean;Acec_Ymin;Acec_Ymax;Acec_Ymean;Acec_Zmin;Acec_Zmax;Acec_Zmean;AceVisc_min;AceVisc_max;AceVisc_mean;AceVisc_Xmin;AceVisc_Xmax;AceVisc_Xmean;AceVisc_Ymin;AceVisc_Ymax;AceVisc_Ymean;AceVisc_Zmin;AceVisc_Zmax;AceVisc_Zmean;CellOffSpring_min;CellOffSpring_max;CellOffSpring_mean;GradVel_min;GradVel_max;GradVel_mean;Qfxx_min;Qfxx_max;Qfxx_mean;Qfxy_min;Qfxy_max;Qfxy_mean;Qfxz_min;Qfxz_max;Qfxz_mean;Qfyy_min;Qfyy_max;Qfyy_mean;Qfyz_min;Qfyz_max;Qfyz_mean;Qfzz_min;Qfzz_max;Qfzz_mean;StrainDot_min;StrainDot_max;StrainDot_mean;StrainDot_Xmin;StrainDot_Xmax;StrainDot_Xmean;StrainDot_Ymin;StrainDot_Ymax;StrainDot_Ymean;StrainDot_Zmin;StrainDot_Zmax;StrainDot_Zmean;VonMises3D_min;VonMises3D_max;VonMises3D_mean;
0;  0.000000000000E+00;494; -1.000000000000E+00;  6.000000000000E+00;  1.861538460380E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+01;  1.000000000000E+01;  1.000000000000E+01;  4.000000059605E-01;  4.000000059605E-01;  4.000000059605E-01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
1;  5.016595251285E-01;494; -1.000000000000E+00;  6.021587371826E+00;  1.864920739747E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -5.749521956149E-11;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  6.439189664932E-02;  1.278930955395E-02; -8.052368066274E-04;  6.439019739628E-02;  1.253040001428E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.314235135913E-03;  8.314238861203E-03; -2.843665417850E-11;  9.979549407959E+00;  1.000359249115E+01;  9.997764135662E+00;  3.999296426773E-01;  4.053178727627E-01;  4.011865051893E-01; -1.818132996559E+00;  3.865822553635E-01; -1.952466158553E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  2.569759073755E-01;  4.337353691204E-02; -1.842652559280E-01;  1.067394539714E-01; -1.040934503703E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.011037915945E-01;  2.011038511992E-01; -2.139917449717E-09;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -5.334035959095E-04;  3.674919903278E-02;  8.881660936525E-03;  9.771308898926E+01;  1.000744934082E+02;  9.949073928957E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.109647564590E-02;  5.746189504862E-02;  2.203770339238E-04;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.949287414551E+01;  1.000010833740E+02;  9.987217085371E+01;  1.846602117462E-06;  3.004341629217E-02;  7.745897427500E-03; -5.426660063677E-04;  2.916194871068E-02;  7.421087529449E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.221304846695E-04;  1.082831807435E-02;  1.460573414460E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
2;  1.000861879583E+00;494; -1.000000000000E+00;  6.061683654785E+00;  1.873260001972E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -2.659163546129E-10;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  9.293337911368E-02;  2.049315772900E-02; -3.596828901209E-04;  9.293337911367E-02;  2.037234892627E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.879323326051E-03;  7.879314944148E-03; -1.017926919150E-09;  9.974339485168E+00;  1.000557994843E+01;  9.996699302303E+00;  3.998450040817E-01;  4.127927124500E-01;  4.033242522584E-01; -2.281330347061E+00;  6.003960371017E-01; -2.970417053759E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  2.086653181712E-01;  3.075333742481E-02; -1.367693543434E-01;  5.950997397304E-02; -1.512823767559E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.630836576223E-01;  1.630835980177E-01;  1.461676375977E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.836914791260E-04;  4.251374304295E-02;  1.239751237514E-02;  9.483568572998E+01;  1.001113357544E+02;  9.860659813205E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.087410494685E-02;  5.086205527186E-02; -3.862266423557E-04;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.882666015625E+01;  1.000010833740E+02;  9.970163428735E+01;  1.202108513797E-06;  3.500905120135E-02;  1.065589465798E-02; -2.778579655569E-04;  3.407683968544E-02;  1.038894550369E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.591706864536E-05;  8.580177091062E-03;  2.008566871932E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
3;  1.500053947440E+00;494; -1.000000000000E+00;  6.113444328308E+00;  1.884858882505E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -4.427759315291E-10;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  1.126448735595E-01;  2.581103090309E-02; -1.641288545216E-04;  1.126448735595E-01;  2.572466565499E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -8.740356191993E-03;  8.740373887122E-03; -4.682064716814E-10;  9.971239089966E+00;  1.000651550293E+01;  9.995777971831E+00;  3.997961878777E-01;  4.216787815094E-01;  4.060699066170E-01; -2.556991338730E+00;  7.010827660561E-01; -3.874214121578E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  1.521061047216E-01;  2.206934168078E-02; -9.477542340755E-02;  3.991383314133E-02; -1.275733219394E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.349658519030E-01;  1.349657624960E-01;  3.362639919999E-09;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.228532782989E-04;  4.674610123038E-02;  1.469781172549E-02;  9.156958770752E+01;  1.001205215454E+02;  9.751508618559E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.989850103855E-02;  4.187894612551E-02; -8.368234384743E-04;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.806513214111E+01;  1.000010833740E+02;  9.949283443868E+01;  7.518665822783E-07;  3.898496159490E-02;  1.263321844215E-02; -1.172185875475E-04;  3.803919255733E-02;  1.236765875528E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.415307583055E-05;  9.127674624324E-03;  2.330152980664E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
4;  2.001579167000E+00;494; -1.000000000000E+00;  6.173540592194E+00;  1.898717264230E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00;  2.737691162388E-10;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  1.254354119301E-01;  2.936139827122E-02; -1.147272196249E-04;  1.254354119301E-01;  2.928739856066E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.268774650991E-03;  9.268744848669E-03;  6.558178403172E-10;  9.969561576843E+00;  1.000674629211E+01;  9.995113614117E+00;  3.997790813446E-01;  4.318877756596E-01;  4.092677060047E-01; -2.706109046936E+00;  7.258382439613E-01; -4.534012940189E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  1.354861024546E-01;  1.591464731518E-02; -7.206215709448E-02;  2.894617430866E-02; -6.415147920774E-04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.287035346031E-01;  1.287033408880E-01; -3.454520973372E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.603122579283E-05;  5.033024400473E-02;  1.613648983841E-02;  8.804477691650E+01;  1.001104125977E+02;  9.630059097846E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.251365810633E-02;  4.228879883885E-02; -1.037438447644E-03;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.722035217285E+01;  1.000017547607E+02;  9.925909955106E+01;  4.903793270500E-07;  4.219649435783E-02;  1.388050163770E-02; -4.070456634508E-05;  4.119604453444E-02;  1.360251512602E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.908048398036E-05;  9.365065954626E-03;  2.533974688335E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
5;  2.500771203017E+00;494; -1.000000000000E+00;  6.239038944244E+00;  1.913973986199E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -1.309851707081E-09;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  1.350448727608E-01;  3.172163857220E-02; -8.199638250517E-05;  1.350448727608E-01;  3.165259241887E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.658677503467E-03;  9.658599272370E-03; -5.216919761346E-09;  9.968201637268E+00;  1.000660037994E+01;  9.994614969864E+00;  3.997907340527E-01;  4.430139064789E-01;  4.127605106787E-01; -2.827035188675E+00;  7.101908326149E-01; -5.037402456574E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  1.334793930734E-01;  1.197191458950E-02; -5.345654115081E-02;  3.160744905472E-02;  2.292531144941E-04;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.315618008375E-01;  1.315616071224E-01;  1.504911020631E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.113780217565E-05;  5.292996391654E-02;  1.703305698940E-02;  8.444167327881E+01;  1.000891265869E+02;  9.503628955486E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.094145700336E-01;  3.879306465387E-02; -1.048576746143E-03;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.633296966553E+01;  1.000033874512E+02;  9.901322583341E+01;  2.989657142901E-07;  4.437401377951E-02;  1.467602384119E-02; -1.262801561097E-05;  4.334781691432E-02;  1.439429249257E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.236496195314E-05;  9.638612158597E-03;  2.638764512793E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
6;  3.002298204564E+00;494; -1.000000000000E+00;  6.308989524841E+00;  1.930273774676E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -2.473401553746E-09;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  1.422975212336E-01;  3.328269353659E-02; -6.837506225565E-05;  1.422975212336E-01;  3.321619871481E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -9.999077767134E-03;  9.999188594520E-03; -1.773391776545E-09;  9.967127799988E+00;  1.000617313385E+01;  9.994229017482E+00;  3.998196423054E-01;  4.549763798714E-01;  4.164986389007E-01; -2.922472715378E+00;  6.641457676888E-01; -5.432067004915E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  1.466591631115E-01;  9.725447266013E-03; -4.306256398559E-02;  8.388050645590E-02;  1.189685785802E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.405809223652E-01;  1.405806392431E-01; -1.315578312505E-08;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -7.942942374939E-07;  5.503742769361E-02;  1.759231896132E-02;  8.082767486572E+01;  1.000645217896E+02;  9.375020318282E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.230958700180E-01;  3.345521911979E-02; -1.019284846410E-03;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.541162109375E+01;  1.000050277710E+02;  9.875961438075E+01;  1.710479073369E-07;  4.610640819491E-02;  1.518570217361E-02; -9.756570307218E-07;  4.500137269497E-02;  1.490298478668E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.076194454683E-05;  1.003669947386E-02;  2.689334192634E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
7;  3.501491163367E+00;494; -1.000000000000E+00;  6.381738662720E+00;  1.947132932073E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00; -1.382238176369E-09;  0.000000000000E+00;  4.930000000000E+02;  2.465000000000E+02;  0.000000000000E+00;  1.481081992388E-01;  3.431094010185E-02; -9.257712372346E-05;  1.481081992388E-01;  3.424336109861E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.040563080460E-02;  1.040587760508E-02;  5.604424598395E-09;  9.966414451599E+00;  1.000576496124E+01;  9.993921615817E+00;  3.998515307903E-01;  4.676086008549E-01;  4.203972811641E-01; -2.985903263092E+00;  6.202800869942E-01; -5.750732876583E-01;  0.000000000000E+00;  3.000000000000E+00;  1.997975708502E+00;  0.000000000000E+00;  1.751024220694E-01;  9.199831108428E-03; -3.485151380301E-02;  1.270042061806E-01;  2.112421117594E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.522415131330E-01;  1.522414237261E-01; -5.335413906454E-09;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.161435640526E-07;  5.654693022370E-02;  1.793007047586E-02;  7.727397155762E+01;  1.000421676636E+02;  9.247834958528E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.337913274765E-01;  4.468259215355E-02; -9.683426383799E-04;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.447460174561E+01;  1.000075225830E+02;  9.850433422197E+01;  1.195954835977E-07;  4.749022546609E-02;  1.550308755745E-02; -1.208288153975E-07;  4.642955586314E-02;  1.522126685609E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -4.146442370256E-05;  1.024784985930E-02;  2.708803572760E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
8;  4.000680189802E+00;504; -1.000000000000E+00;  6.456977367401E+00;  2.020275612736E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00;  1.188235411299E-09;  0.000000000000E+00;  5.030000000000E+02;  2.515000000000E+02;  0.000000000000E+00;  1.523271948099E-01;  3.634582269892E-02; -1.288654602831E-04;  1.523271948099E-01;  3.627002717671E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.074106991291E-02;  1.074089761823E-02;  3.777446439640E-09;  9.965572357178E+00;  1.000535678864E+01;  9.993565419364E+00;  2.401172220707E-01;  4.799973964691E-01;  4.160198869686E-01; -3.060780048370E+00;  5.764142274857E-01; -6.100134017862E-01;  0.000000000000E+00;  3.000000000000E+00;  2.017857142857E+00;  0.000000000000E+00;  2.021472020593E-01;  9.474708859413E-03; -2.735421247780E-02;  1.638979017735E-01;  3.076832827785E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.651001572609E-01;  1.651000082493E-01;  3.902748492259E-08;  0.000000000000E+00;  7.475567312124E+08;  1.483247482564E+07; -4.316020800000E+08;  0.000000000000E+00; -8.563533333333E+06; -4.316020800000E+08;  0.000000000000E+00; -8.563533333333E+06; -4.316020800000E+08;  0.000000000000E+00; -8.563533333333E+06;  0.000000000000E+00;  1.000000000000E+00;  3.968253968254E-02; -2.999316279784E-07;  5.783504992723E-02;  1.889103905184E-02;  7.403114318848E+01;  2.958808593750E+02;  9.967799487947E+01;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.432659476995E-01;  5.881959944963E-02; -1.943793639625E-04;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.351818847656E+01;  1.000107879639E+02;  9.815537775130E+01;  1.896698937217E-07;  4.856621605338E-02;  1.632199322340E-02;  2.618502925600E-08;  4.746858775616E-02;  1.602421144742E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.705893686856E-05;  1.046435255557E-02;  2.866827633656E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
9;  4.502167690892E+00;560; -1.000000000000E+00;  6.534563064575E+00;  2.293504011862E+00;  9.999999776483E-03;  9.999999776483E-03;  9.999999776483E-03; -2.000000000000E+00;  2.000000000000E+00;  2.541365118347E-09;  0.000000000000E+00;  5.590000000000E+02;  2.795000000000E+02;  0.000000000000E+00;  1.563873589049E-01;  4.263965745029E-02; -1.655783125898E-04;  1.563873589039E-01;  4.254747748739E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.105737127364E-02;  1.105751469731E-02;  5.003922682957E-10;  9.964558601379E+00;  1.000494670868E+01;  9.992841512816E+00;  2.413093894720E-01;  4.797996580601E-01;  3.781078711418E-01; -3.150918483734E+00;  5.322918295860E-01; -6.739505933839E-01;  0.000000000000E+00;  3.000000000000E+00;  2.116071428571E+00;  0.000000000000E+00;  2.278222604369E-01;  9.636729911721E-03; -2.298098988831E-02;  1.951744407415E-01;  3.729328300350E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -1.793588250875E-01;  1.793588548899E-01; -1.210977838053E-07;  0.000000000000E+00;  7.475567312124E+08;  8.810490046432E+07; -4.316020800000E+08;  0.000000000000E+00; -5.086738800000E+07; -4.316020800000E+08;  0.000000000000E+00; -5.086738800000E+07; -4.316020800000E+08;  0.000000000000E+00; -5.086738800000E+07;  0.000000000000E+00;  1.000000000000E+00;  2.357142857143E-01; -2.161817462820E-07;  5.946820601821E-02;  2.269650482237E-02;  7.407976531982E+01;  2.933752441406E+02;  1.384840174675E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -2.649694383144E-01;  1.837091296911E-01; -1.699273944569E-03;  1.000000000000E+02;  1.000000000000E+02;  1.000000000000E+02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  9.253363800049E+01;  1.000140686035E+02;  9.739578241621E+01;  2.541470728671E-07;  4.999310749683E-02;  1.948841626800E-02;  9.813098245104E-08;  4.885328561068E-02;  1.911326033282E-02;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -3.678620487335E-05;  1.075660996139E-02;  3.583244414604E-03;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;
